txn_id,txn_date,account_iban,counterparty_name,description,amount,currency,bank_reference
BNK-2026-000001,2026-01-02,DK5000400440116243,Acme A/S,"Invoice INV-2026-0001 payment",-2500.00,DKK,REF-ACME-0001
BNK-2026-000002,2026-01-03,DK5000400440116243,Globex ApS,"Invoice INV-2026-0002 payment",-999.99,DKK,REF-GLOBEX-0002
BNK-2026-000003,2026-01-03,DK5000400440116243,Acme A/S,"Partial payment INV-2026-0003",-500.00,DKK,REF-ACME-0003A
BNK-2026-000004,2026-01-05,DK5000400440116243,Acme A/S,"Partial payment INV-2026-0003",-750.00,DKK,REF-ACME-0003B
BNK-2026-000005,2026-01-05,DK5000400440116243,Unknown,"Unidentified incoming payment",-1234.56,DKK,REF-UNKNOWN-01
BNK-2026-000006,2026-01-06,DK5000400440116243,Initech,"Invoice 4567 (FX) payment",-1340.25,EUR,REF-INITECH-4567
BNK-2026-000007,2026-01-06,DK5000400440116243,Initech,"Bank FX conversion to DKK",-10000.00,DKK,REF-INITECH-FX
BNK-2026-000008,2026-01-07,DK5000400440116243,Acme A/S,"Duplicate event test INV-2026-0001",-2500.00,DKK,REF-ACME-0001-DUP
BNK-2026-000009,2026-01-08,DK5000400440116243,Globex ApS,"Late payment INV-2025-9999",-500.00,DKK,REF-GLOBEX-LATE
BNK-2026-000010,2026-01-09,DK5000400440116243,Fabrikam,"Invoice INV-2026-0004 payment (rounding)",-1499.995,DKK,REF-FAB-0004
BNK-2026-000011,2026-01-10,DK5000400440116243,Acme A/S,"Invoice INV-2026-0005 overpayment",-2600.00,DKK,REF-ACME-0005-OVER
BNK-2026-000012,2026-01-10,DK5000400440116243,Chargeback Corp,"Chargeback fee",75.00,DKK,REF-FEE-0001
BNK-2026-000013,2026-01-11,DK5000400440116243,Acme A/S,"Invoice INV-2026-0006 payment",-3750.00,DKK,REF-ACME-0006
BNK-2026-000014,2026-01-11,DK5000400440116243,Acme A/S,"Broken encoding – fakturá",-100.00,DKK,REF-ENC-0001
BNK-2026-000015,2026-01-12,DK5000400440116243,Initech,"Duplicate delivery test INV-2026-0007",-2000.00,DKK,REF-INITECH-0007
BNK-2026-000015,2026-01-12,DK5000400440116243,Initech,"Duplicate delivery test INV-2026-0007 (same txn_id)",-2000.00,DKK,REF-INITECH-0007-DUP
BNK-2026-000016,2026-01-13,DK5000400440116243,Globex ApS,"Rounded cents test",-1000.01,DKK,REF-GLOBEX-ROUND
BNK-2026-000017,2026-01-14,DK5000400440116243,Unknown,"CSV error – amount not numeric",NOT_A_NUMBER,DKK,REF-BAD-AMOUNT
BNK-2026-000018,2026-01-15,DK5000400440116243,Acme A/S,"Out-of-range date",-2500.00,DKK,REF-ACME-OUTOFRANGE
BNK-2026-000019,2026-01-16,DK5000400440116243,Initech,"FX residual",-0.01,EUR,REF-INITECH-RESIDUAL
