invoice_id,invoice_date,due_date,customer_id,customer_name,amount_gross,currency,status
INV-2026-0001,2025-12-28,2026-01-05,CUST-ACME,Acme A/S,2500.00,DKK,open
INV-2026-0002,2025-12-29,2026-01-06,CUST-GLOBEX,Globex ApS,999.99,DKK,open
INV-2026-0003,2025-12-30,2026-01-10,CUST-ACME,Acme A/S,1250.00,DKK,open
INV-2026-0004,2025-12-31,2026-01-09,CUST-FAB,Fabrikam,1500.00,DKK,open
INV-2026-0005,2026-01-01,2026-01-12,CUST-ACME,Acme A/S,2500.00,DKK,open
INV-2026-0006,2026-01-02,2026-01-15,CUST-ACME,Acme A/S,3750.00,DKK,open
INV-2026-0007,2026-01-03,2026-01-16,CUST-INITECH,Initech,2000.00,DKK,open
INV-2026-0008,2026-01-04,2026-01-20,CUST-GLOBEX,Globex ApS,1000.01,DKK,open
INV-2025-9999,2025-11-15,2025-12-15,CUST-GLOBEX,Globex ApS,500.00,DKK,open
INV-2026-0009,2026-01-05,2026-01-25,CUST-UNKNOWN,Unknown,1234.56,DKK,open
INV-2026-0010,2026-01-06,2026-01-27,CUST-INITECH,Initech,1340.25,EUR,open
